park_date,wait_hour,attraction_name,wait_minutes_posted_avg,attraction_duration,attraction_park,attraction_land,park_open,park_close,park_extra_magic_morning,park_extra_magic_evening,park_ticket_season,park_temperature_average,park_temperature_high,attraction_short_name
2018-04-26,12,Expedition Everest - Legend of the Forbidden Mountain,45,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,70.18,81.8,Expedition Everest
2018-04-26,13,Expedition Everest - Legend of the Forbidden Mountain,48,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,70.18,81.8,Expedition Everest
2018-04-26,14,Expedition Everest - Legend of the Forbidden Mountain,33.33333333,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,70.18,81.8,Expedition Everest
2018-04-26,15,Expedition Everest - Legend of the Forbidden Mountain,45.55555556,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,70.18,81.8,Expedition Everest
2018-04-26,16,Expedition Everest - Legend of the Forbidden Mountain,56.11111111,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,70.18,81.8,Expedition Everest
2018-04-26,17,Expedition Everest - Legend of the Forbidden Mountain,35.55555556,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,70.18,81.8,Expedition Everest
2018-04-26,18,Expedition Everest - Legend of the Forbidden Mountain,31.66666667,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,70.18,81.8,Expedition Everest
2018-04-26,19,Expedition Everest - Legend of the Forbidden Mountain,23.88888889,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,70.18,81.8,Expedition Everest
2018-04-26,20,Expedition Everest - Legend of the Forbidden Mountain,13.88888889,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,70.18,81.8,Expedition Everest
2018-04-26,21,Expedition Everest - Legend of the Forbidden Mountain,22,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,70.18,81.8,Expedition Everest
2018-04-27,8,Expedition Everest - Legend of the Forbidden Mountain,5,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,73.67,84.33,Expedition Everest
