"park_date","wait_hour","attraction_name","wait_minutes_actual_avg","wait_minutes_posted_avg","attraction_wait_per_hundred_average","attraction_duration","attraction_park","attraction_land","park_open","park_close","park_extra_magic_morning","park_extra_magic_evening","park_ticket_season","park_temperature_average","park_temperature_high","attraction_short_name"
2018-04-14,10,"Rock 'n' Roller Coaster Starring Aerosmith",NA,84.4444444444444,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",75.69,86.87,"Rock Coaster"
2018-04-14,11,"Rock 'n' Roller Coaster Starring Aerosmith",NA,60,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",75.69,86.87,"Rock Coaster"
2018-04-14,12,"Rock 'n' Roller Coaster Starring Aerosmith",NA,56.1111111111111,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",75.69,86.87,"Rock Coaster"
2018-04-14,13,"Rock 'n' Roller Coaster Starring Aerosmith",NA,50,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",75.69,86.87,"Rock Coaster"
2018-04-14,14,"Rock 'n' Roller Coaster Starring Aerosmith",NA,20,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",75.69,86.87,"Rock Coaster"
2018-04-14,15,"Rock 'n' Roller Coaster Starring Aerosmith",NA,56.1111111111111,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",75.69,86.87,"Rock Coaster"
2018-04-14,16,"Rock 'n' Roller Coaster Starring Aerosmith",NA,70,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",75.69,86.87,"Rock Coaster"
2018-04-14,17,"Rock 'n' Roller Coaster Starring Aerosmith",NA,54.4444444444444,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",75.69,86.87,"Rock Coaster"
2018-04-14,18,"Rock 'n' Roller Coaster Starring Aerosmith",NA,85,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",75.69,86.87,"Rock Coaster"
2018-04-14,19,"Rock 'n' Roller Coaster Starring Aerosmith",NA,97.2222222222222,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",75.69,86.87,"Rock Coaster"
2018-04-14,20,"Rock 'n' Roller Coaster Starring Aerosmith",NA,47.7272727272727,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",75.69,86.87,"Rock Coaster"
2018-04-14,21,"Rock 'n' Roller Coaster Starring Aerosmith",NA,20,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",75.69,86.87,"Rock Coaster"
2018-04-15,8,"Rock 'n' Roller Coaster Starring Aerosmith",NA,5,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,1,0,"regular",75.05,86.86,"Rock Coaster"
2018-04-15,11,"Rock 'n' Roller Coaster Starring Aerosmith",NA,82.2222222222222,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,1,0,"regular",75.05,86.86,"Rock Coaster"
2018-04-15,12,"Rock 'n' Roller Coaster Starring Aerosmith",NA,91.1111111111111,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,1,0,"regular",75.05,86.86,"Rock Coaster"
2018-04-15,13,"Rock 'n' Roller Coaster Starring Aerosmith",NA,115,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,1,0,"regular",75.05,86.86,"Rock Coaster"
2018-04-15,14,"Rock 'n' Roller Coaster Starring Aerosmith",NA,61.6666666666667,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,1,0,"regular",75.05,86.86,"Rock Coaster"
2018-04-15,15,"Rock 'n' Roller Coaster Starring Aerosmith",NA,67.7777777777778,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,1,0,"regular",75.05,86.86,"Rock Coaster"
2018-04-15,16,"Rock 'n' Roller Coaster Starring Aerosmith",28,45,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,1,0,"regular",75.05,86.86,"Rock Coaster"
2018-04-15,17,"Rock 'n' Roller Coaster Starring Aerosmith",NA,44.4444444444444,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,1,0,"regular",75.05,86.86,"Rock Coaster"
2018-04-15,18,"Rock 'n' Roller Coaster Starring Aerosmith",NA,40.5555555555556,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,1,0,"regular",75.05,86.86,"Rock Coaster"
2018-04-15,19,"Rock 'n' Roller Coaster Starring Aerosmith",NA,35,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,1,0,"regular",75.05,86.86,"Rock Coaster"
2018-04-15,20,"Rock 'n' Roller Coaster Starring Aerosmith",NA,10,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,1,0,"regular",75.05,86.86,"Rock Coaster"
2018-04-15,21,"Rock 'n' Roller Coaster Starring Aerosmith",NA,5,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,1,0,"regular",75.05,86.86,"Rock Coaster"
2018-04-16,8,"Rock 'n' Roller Coaster Starring Aerosmith",NA,20,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",63.63,69.71,"Rock Coaster"
2018-04-16,9,"Rock 'n' Roller Coaster Starring Aerosmith",22,27.1428571428571,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",63.63,69.71,"Rock Coaster"
2018-04-16,10,"Rock 'n' Roller Coaster Starring Aerosmith",NA,28.3333333333333,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",63.63,69.71,"Rock Coaster"
2018-04-16,11,"Rock 'n' Roller Coaster Starring Aerosmith",NA,81.1111111111111,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",63.63,69.71,"Rock Coaster"
2018-04-16,12,"Rock 'n' Roller Coaster Starring Aerosmith",NA,95,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",63.63,69.71,"Rock Coaster"
2018-04-16,13,"Rock 'n' Roller Coaster Starring Aerosmith",NA,121.666666666667,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",63.63,69.71,"Rock Coaster"
2018-04-16,14,"Rock 'n' Roller Coaster Starring Aerosmith",NA,76,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",63.63,69.71,"Rock Coaster"
2018-04-16,15,"Rock 'n' Roller Coaster Starring Aerosmith",NA,89.4444444444444,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",63.63,69.71,"Rock Coaster"
2018-04-16,16,"Rock 'n' Roller Coaster Starring Aerosmith",NA,87,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",63.63,69.71,"Rock Coaster"
2018-04-16,17,"Rock 'n' Roller Coaster Starring Aerosmith",NA,48.6363636363636,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",63.63,69.71,"Rock Coaster"
2018-04-16,18,"Rock 'n' Roller Coaster Starring Aerosmith",NA,68.3333333333333,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",63.63,69.71,"Rock Coaster"
2018-04-16,19,"Rock 'n' Roller Coaster Starring Aerosmith",NA,80.5555555555556,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",63.63,69.71,"Rock Coaster"
2018-04-16,20,"Rock 'n' Roller Coaster Starring Aerosmith",NA,45,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",63.63,69.71,"Rock Coaster"
2018-04-16,21,"Rock 'n' Roller Coaster Starring Aerosmith",NA,45,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",63.63,69.71,"Rock Coaster"
2018-04-17,8,"Rock 'n' Roller Coaster Starring Aerosmith",NA,5,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",65.5,78.3,"Rock Coaster"
2018-04-17,9,"Rock 'n' Roller Coaster Starring Aerosmith",NA,21.1111111111111,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",65.5,78.3,"Rock Coaster"
2018-04-17,10,"Rock 'n' Roller Coaster Starring Aerosmith",NA,53.5,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",65.5,78.3,"Rock Coaster"
2018-04-17,11,"Rock 'n' Roller Coaster Starring Aerosmith",NA,57,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",65.5,78.3,"Rock Coaster"
2018-04-17,12,"Rock 'n' Roller Coaster Starring Aerosmith",NA,43.3333333333333,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",65.5,78.3,"Rock Coaster"
